NO,논문ID,논문명,논문 외국어명,저자,공동저자,학술지 명,학술지 외국어 명,발행기관 명,발행기관 외국어 명,등재 구분,발행년,권(호),페이지,논문번호,키워드(한국어),키워드(외국어),주제분야,피인용횟수,URL,DOI
65,ART001859865,포스트휴먼 사회를 사유하기 위한 하나의 청사진: 질베르 시몽동의 기술－정치학,A Blueprint for Thinking upon the Posthuman Society: Gilbert Simondon’s Techno-Politics,김재희(이화여자대학교),,범한철학,PAN-KOREAN PHILOSOPHY,범한철학회,,등재,201403,72(1),pp.387~414,,"시몽동, 포스트휴먼, 기술, 노동, 개체초월성","Simondon, Posthuman, Technology, Labor, Transindividuality",철학,19,,
66,ART003131536,현대시에 수용된 포스트휴먼기술 담론과 비주체의 윤리- 2010년대 이후 시를 중심으로,"Post-human Technology Discourse and Non-subjectivity Ethics in Contemporary Poetry –Since the 2010s, focusing on the Poetry",김순아(국립부경대학교),,한국문학이론과 비평,Korean Literary Theory and Criticism,한국문학이론과비평학회,The Association Of Korean Literary Theory And Criticism,등재,202410,28(3),pp.183~216,,"포스트휴먼, 인간-기술의 관계, 사이보그, 혼종, 조에, 횡단, 비주체, 윤리","Posthuman, Human-Technology Relationship, Cyborgs, Hybrids, Zoe, Transverse, Non-subjectivity, Ethics",한국어와문학,1,,
67,ART002230194,4차 산업혁명의 O2O 플랫폼으로서 AR －인터액션의 현장으로서 AR의 존재론적 특성－,AR as O2O Platform in the Fourth Industrial Revolution － The Ontological Feature of AR as a Field of Interaction －,김화자(명지대학교),,인문과학,Journal of Humanities,인문학연구원,Institute for Humanities,등재,201705,(65),pp.61~94,,"낭시, 상상력, 시몽동, 엑토피아, 증강현실, 4차 산업혁명, O2O","Augmented Reality, Ectopie, Fourth industrial revolution, Imagination, Nancy, Online to Offline, Simondon",기타인문학,0,,https://doi.org/10.31310/HUM.065.03
68,ART002601630,기술매체에 의한 이시적 시간성에 대한 비평적 연구: 아피찻퐁 위라세타쿤을 중심으로,A Critical Study of the Concept of Hétérochronie in Relation to Media Technology: Focused on Apichatpong Weerasethakul,김수정(홍익대학교),,현대미술사연구,Journal of History of Modern Art,현대미술사학회,,등재,202006,(47),pp.39~63,,"이시적 시간성, 동시대 미술, 아핏찻퐁 위라세타쿤, 베르나르 스티글러, 질베르 시몽동","The Concept of Hétérochronie, Contemporary art, Apichatpong Weerasethakul, Bernard Stiegler, Gilbert Simondon",미술사,0,,
69,ART002422510,‘상호적응형 자동화’모델로서 인간행위-공유플랫폼의 융화 - 컬쳐팩토리로서 팹랩,Harmony of Human Behavior and Shared Platform in a ‘Mutual Adaptation and Automation’ Model : Fab Lab as a Culture Factory,김화자(성균관대학교 하이브리드미래문화연구소),,현상학과 현대철학,,한국현상학회,Korean Society For Phenomenology,등재,201812,(79),pp.225~261,,"4차 기술혁명, 스마트팩토리, 시몽동, 아렌트, 일(작업), 적응형 자동화, 컬쳐팩토리, 팹랩","4th Industrial Revolution, Adaptive Automation, Arendt, Culture Factory, Fab Lab, Publicness, Smart Factory, Simondon, Work",철학,1,,10.35851/PCP.2018.12.79.225
70,ART001513858,기술적 대상(l'objet technique)의 존재 : 디지털 이미지의 존재론을 위한 예비적 고찰,L'Être de l'objet technique : la recherche préparatoire pour l'ontologie de l'image digitale,김화자(명지대학교),,미학예술학연구,The Journal of Aesthetics and Science of Art,한국미학예술학회,,등재,201012,32(),pp.277~310,,"기술적 대상, 개체화, 대자연, 뒤프렌, 메를로-퐁티, 변환, 살, 상호작용, 시몽동, 전개체적인 것, 초개체적인 것","chair, Dufrenne, individuation, interaction, Nature, Merleau-Ponty, objet technique, le préindividuel, Simondon, transduction, le transindividuel",기타예술체육,8,,
71,ART001967046,[특집: 테크놀로지와 주거의 인문학] 현대건축과 소통의 인터페이스 -디지털스킨과 감각적⋅미적 ‘살’ 공동체-,Contemporary Architecture and Interspace of Communications -“Digital skin” and Sensual-Aesthetic Community of “Flesh”-,김화자(명지대학교),,인문과학,Journal of Humanities,인문학연구원,Institute for Humanities,등재,201502,(56),pp.5~34,,"교직교차, 디지털스킨, 메를로퐁티, 미디어 파사드, 살, 생체모방, 시몽동, 앙지외","Anzieu, Biomimetic, Chiasme, Digital skin, Flesh, Media façade, Merleau-Ponty, Simondon",기타인문학,2,,
72,ART002782735,대규모 인터뷰 작업이 생성하는 집단적 관계성의 의미 -미디어전시예술 <70mK>를 중심으로,,오세현(성균관대학교),,트랜스-,trans-,트랜스미디어연구소,TRANS MEDIA INSTITUTE,미등재,201907,7(),pp.19~48,,"70mK, 인터뷰, 개체화, 전개체적인 실재, 퍼텐셜, 관개체성, 시몽동",,뉴미디어,0,,
73,ART002008380,사물인터넷과 메를로퐁티의 ‘상호세계’,Internet of Things and the ‘Interworld’ in Merleau-Ponty,김화자(명지대학교),,현상학과 현대철학,,한국현상학회,Korean Society For Phenomenology,등재,201506,(65),pp.61~94,,"키아즘(교직교차), 라투르, 메를로퐁티, 시몽동, 사물인터넷, 상호세계, 행위자네트워크이론","Actor-Network Theory(ANT), Chiasme, Internet of Things(IoT), Interworld, Latour, Merleau-Ponty, Simondon",철학,13,,
74,ART001917058,우리는 어떻게 포스트휴먼 주체가될 수 있는가?,How Can We Become Posthuman Subject?,김재희(이화여자대학교),,철학연구,Journal of The Society of philosophical studies,철학연구회,The Society Of Philosophical Studies,등재,201409,(106),pp.215~242,,"포스트휴먼 주체, 포스트휴머니즘, 트랜스휴머니즘, 사이보그, 헤일스, 시몽동","posthuman subject, posthumanism, transhumanism, cyborg, Hayles, Simondon",철학,55,,
